DESKTOP-FET5BBI | 2019-05-20 11:53:14 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-20 11:53:42 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 30.472 seconds (JVM running for 31.906)
DESKTOP-FET5BBI | 2019-05-20 11:59:15 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-20 11:59:34 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 21.859 seconds (JVM running for 23.149)
DESKTOP-FET5BBI | 2019-05-20 12:02:57 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-20 12:03:14 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 18.603 seconds (JVM running for 19.665)
DESKTOP-FET5BBI | 2019-05-20 12:13:49 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-20 12:14:07 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 20.211 seconds (JVM running for 21.256)
DESKTOP-FET5BBI | 2019-05-20 12:14:39 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-20 12:15:10 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 33.325 seconds (JVM running for 34.617)
DESKTOP-FET5BBI | 2019-05-20 12:17:08 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-20 12:17:25 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 19.697 seconds (JVM running for 20.752)
DESKTOP-FET5BBI | 2019-05-20 12:36:14 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-20 12:36:40 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 28.062 seconds (JVM running for 29.352)
