DESKTOP-FET5BBI | 2019-05-23 09:20:52 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 09:21:21 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 33.34 seconds (JVM running for 34.427)
DESKTOP-FET5BBI | 2019-05-23 09:23:23 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 09:24:04 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 09:27:13 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 09:29:22 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 09:29:44 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 26.563 seconds (JVM running for 27.778)
DESKTOP-FET5BBI | 2019-05-23 09:30:18 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 09:30:43 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 29.113 seconds (JVM running for 30.205)
DESKTOP-FET5BBI | 2019-05-23 09:31:20 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 09:32:10 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 09:32:34 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 28.135 seconds (JVM running for 29.404)
DESKTOP-FET5BBI | 2019-05-23 09:33:18 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 09:33:41 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 26.967 seconds (JVM running for 28.032)
DESKTOP-FET5BBI | 2019-05-23 01:16:57 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 01:17:27 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 34.054 seconds (JVM running for 35.112)
DESKTOP-FET5BBI | 2019-05-23 02:05:47 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
