Milan-PC | 2019-06-30 12:03:36 | as.AgentServiceApplication | No active profile set, falling back to default profiles: default
Milan-PC | 2019-06-30 12:03:54 | as.AgentServiceApplication | Started AgentServiceApplication in 21.873 seconds (JVM running for 23.179)
Milan-PC | 2019-06-30 12:05:50 | as.AgentServiceApplication | No active profile set, falling back to default profiles: default
Milan-PC | 2019-06-30 12:06:31 | as.AgentServiceApplication | No active profile set, falling back to default profiles: default
Milan-PC | 2019-06-30 12:06:44 | as.AgentServiceApplication | No active profile set, falling back to default profiles: default
Milan-PC | 2019-06-30 12:08:37 | as.AgentServiceApplication | No active profile set, falling back to default profiles: default
Milan-PC | 2019-06-30 12:12:37 | as.AgentServiceApplication | No active profile set, falling back to default profiles: default
Milan-PC | 2019-06-30 12:20:52 | as.AgentServiceApplication | No active profile set, falling back to default profiles: default
Milan-PC | 2019-06-30 01:47:29 | as.AgentServiceApplication | No active profile set, falling back to default profiles: default
Milan-PC | 2019-06-30 01:47:45 | as.AgentServiceApplication | Started AgentServiceApplication in 20.585 seconds (JVM running for 21.646)
Milan-PC | 2019-06-30 01:59:20 | as.AgentServiceApplication | No active profile set, falling back to default profiles: default
Milan-PC | 2019-06-30 01:59:35 | as.AgentServiceApplication | Started AgentServiceApplication in 18.803 seconds (JVM running for 19.776)
Milan-PC | 2019-06-30 02:00:30 | as.AgentServiceApplication | No active profile set, falling back to default profiles: default
Milan-PC | 2019-06-30 02:00:46 | as.AgentServiceApplication | Started AgentServiceApplication in 20.601 seconds (JVM running for 21.595)
Milan-PC | 2019-06-30 02:02:40 | as.AgentServiceApplication | No active profile set, falling back to default profiles: default
Milan-PC | 2019-06-30 02:07:32 | as.AgentServiceApplication | No active profile set, falling back to default profiles: default
Milan-PC | 2019-06-30 02:07:46 | as.AgentServiceApplication | Started AgentServiceApplication in 17.949 seconds (JVM running for 18.831)
