Milan-PC | 2019-07-01 06:45:27 | as.JwtTokenProvider | Exception thrown io.jsonwebtoken.MalformedJwtException: JWT strings must contain exactly 2 period characters. Found: 0
Milan-PC | 2019-07-01 06:45:27 | as.JwtTokenProvider | Exception thrown io.jsonwebtoken.MalformedJwtException: JWT strings must contain exactly 2 period characters. Found: 0
Milan-PC | 2019-07-01 06:45:27 | as.JwtTokenProvider | Exception thrown io.jsonwebtoken.MalformedJwtException: JWT strings must contain exactly 2 period characters. Found: 0
Milan-PC | 2019-07-01 06:45:34 | as.JwtTokenProvider | Exception thrown io.jsonwebtoken.MalformedJwtException: JWT strings must contain exactly 2 period characters. Found: 0
Milan-PC | 2019-07-01 06:46:05 | as.JwtTokenProvider | Exception thrown io.jsonwebtoken.MalformedJwtException: JWT strings must contain exactly 2 period characters. Found: 0
Milan-PC | 2019-07-01 06:46:05 | as.JwtTokenProvider | Exception thrown io.jsonwebtoken.MalformedJwtException: JWT strings must contain exactly 2 period characters. Found: 0
Milan-PC | 2019-07-01 06:46:05 | as.JwtTokenProvider | Exception thrown io.jsonwebtoken.MalformedJwtException: JWT strings must contain exactly 2 period characters. Found: 0
Milan-PC | 2019-07-01 06:46:20 | as.JwtTokenProvider | Exception thrown io.jsonwebtoken.MalformedJwtException: JWT strings must contain exactly 2 period characters. Found: 0
Milan-PC | 2019-07-01 07:06:01 | as.JwtTokenProvider | Exception thrown io.jsonwebtoken.ExpiredJwtException: JWT expired at 2019-07-01T06:56:52Z. Current time: 2019-07-01T07:06:01Z, a difference of 549389 milliseconds.  Allowed clock skew: 0 milliseconds.
Milan-PC | 2019-07-01 07:24:28 | as.JwtTokenProvider | Exception thrown io.jsonwebtoken.ExpiredJwtException: JWT expired at 2019-07-01T06:56:52Z. Current time: 2019-07-01T07:24:28Z, a difference of 1656114 milliseconds.  Allowed clock skew: 0 milliseconds.
Milan-PC | 2019-07-01 07:24:28 | as.JwtTokenProvider | Exception thrown io.jsonwebtoken.ExpiredJwtException: JWT expired at 2019-07-01T06:56:52Z. Current time: 2019-07-01T07:24:28Z, a difference of 1656259 milliseconds.  Allowed clock skew: 0 milliseconds.
Milan-PC | 2019-07-01 07:31:06 | as.JwtTokenProvider | Exception thrown io.jsonwebtoken.ExpiredJwtException: JWT expired at 2019-07-01T06:56:52Z. Current time: 2019-07-01T07:31:06Z, a difference of 2054682 milliseconds.  Allowed clock skew: 0 milliseconds.
Milan-PC | 2019-07-01 07:31:07 | as.JwtTokenProvider | Exception thrown io.jsonwebtoken.ExpiredJwtException: JWT expired at 2019-07-01T06:56:52Z. Current time: 2019-07-01T07:31:07Z, a difference of 2055069 milliseconds.  Allowed clock skew: 0 milliseconds.
