DESKTOP-FET5BBI | 2019-05-21 09:19:00 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-21 09:19:16 | as.EurekaServiceApplication | Started EurekaServiceApplication in 19.135 seconds (JVM running for 20.713)
DESKTOP-FET5BBI | 2019-05-21 10:39:13 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-21 10:39:26 | as.EurekaServiceApplication | Started EurekaServiceApplication in 15.745 seconds (JVM running for 17.072)
DESKTOP-FET5BBI | 2019-05-21 10:44:27 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-21 10:44:37 | as.EurekaServiceApplication | Started EurekaServiceApplication in 12.346 seconds (JVM running for 13.35)
DESKTOP-FET5BBI | 2019-05-21 11:08:46 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-21 11:09:02 | as.EurekaServiceApplication | Started EurekaServiceApplication in 17.971 seconds (JVM running for 19.455)
DESKTOP-FET5BBI | 2019-05-21 11:10:12 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-21 11:58:47 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-21 11:58:57 | as.EurekaServiceApplication | Started EurekaServiceApplication in 12.627 seconds (JVM running for 13.707)
DESKTOP-FET5BBI | 2019-05-21 01:29:07 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-21 01:29:18 | as.EurekaServiceApplication | Started EurekaServiceApplication in 12.447 seconds (JVM running for 13.612)
