
DESKTOP-FET5BBI | 2019-05-23 09:13:28 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 09:13:45 | as.EurekaServiceApplication | Started EurekaServiceApplication in 21.844 seconds (JVM running for 24.447)
DESKTOP-FET5BBI | 2019-05-23 12:03:51 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 12:04:04 | as.EurekaServiceApplication | Started EurekaServiceApplication in 17.82 seconds (JVM running for 19.426)
DESKTOP-FET5BBI | 2019-05-23 12:47:26 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 12:48:17 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 12:56:34 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 12:56:47 | as.EurekaServiceApplication | Started EurekaServiceApplication in 17.66 seconds (JVM running for 18.731)
DESKTOP-FET5BBI | 2019-05-23 01:14:13 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 01:14:26 | as.EurekaServiceApplication | Started EurekaServiceApplication in 17.113 seconds (JVM running for 18.339)
DESKTOP-FET5BBI | 2019-05-23 01:16:02 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 01:16:15 | as.EurekaServiceApplication | Started EurekaServiceApplication in 17.295 seconds (JVM running for 18.371)
DESKTOP-FET5BBI | 2019-05-23 01:42:48 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 01:43:02 | as.EurekaServiceApplication | Started EurekaServiceApplication in 18.044 seconds (JVM running for 19.134)
DESKTOP-FET5BBI | 2019-05-23 01:54:59 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default

DESKTOP-SKD9GDH | 2019-05-20 02:59:05 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-SKD9GDH | 2019-05-20 02:59:14 | as.EurekaServiceApplication | Started EurekaServiceApplication in 12.392 seconds (JVM running for 13.011)

DESKTOP-FET5BBI | 2019-05-23 06:32:03 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 06:32:27 | as.EurekaServiceApplication | Started EurekaServiceApplication in 28.806 seconds (JVM running for 30.201)
DESKTOP-FET5BBI | 2019-05-23 06:52:31 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 06:52:46 | as.EurekaServiceApplication | Started EurekaServiceApplication in 19.37 seconds (JVM running for 20.4)
DESKTOP-FET5BBI | 2019-05-23 07:32:27 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 07:32:39 | as.EurekaServiceApplication | Started EurekaServiceApplication in 16.514 seconds (JVM running for 17.797)
DESKTOP-FET5BBI | 2019-05-23 07:38:58 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 07:39:11 | as.EurekaServiceApplication | Started EurekaServiceApplication in 17.124 seconds (JVM running for 18.196)
DESKTOP-FET5BBI | 2019-05-23 08:11:48 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 08:12:01 | as.EurekaServiceApplication | Started EurekaServiceApplication in 17.31 seconds (JVM running for 18.585)
DESKTOP-FET5BBI | 2019-05-23 08:39:52 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 08:40:08 | as.EurekaServiceApplication | Started EurekaServiceApplication in 20.305 seconds (JVM running for 21.796)
DESKTOP-FET5BBI | 2019-05-23 08:56:43 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-23 08:56:56 | as.EurekaServiceApplication | Started EurekaServiceApplication in 18.328 seconds (JVM running for 19.646)

DESKTOP-SKD9GDH | 2019-05-23 04:24:34 | as.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-SKD9GDH | 2019-05-23 04:24:45 | as.EurekaServiceApplication | Started EurekaServiceApplication in 14.544 seconds (JVM running for 15.372)

